File_name,img_width,img_height,NO._of_labels,image_path,label_path,box_0_name,box_0_width,box_0_height,box_1_name,box_1_width,box_1_height
0001_MRCW_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRNV_0000.txt,Disposable Respirator Without Valve,95,104,Person wearing Disposable Respirator Without Valve,116.0,189.0
0001_MRCW_DRNV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRNV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRNV_0045.txt,Disposable Respirator Without Valve,83,95,Person wearing Disposable Respirator Without Valve,133.0,179.0
0001_MRCW_DRNV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRNV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRNV_0090.txt,Disposable Respirator Without Valve,69,92,Person wearing Disposable Respirator Without Valve,189.0,180.0
0001_MRCW_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRWV_0000.txt,Disposable Respirator With Valve,99,105,Person wearing Disposable Respirator With Valve,118.0,186.0
0001_MRCW_DRWV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRWV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRWV_0045.txt,Disposable Respirator With Valve,92,112,Person wearing Disposable Respirator With Valve,136.0,193.0
0001_MRCW_DRWV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_DRWV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_DRWV_0090.txt,Disposable Respirator With Valve,56,79,Person wearing Disposable Respirator With Valve,164.0,151.0
0001_MRCW_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_NMDM_0000.txt,Non-Medical Mask,112,104,Person wearing Non-Medical Mask,122.0,200.0
0001_MRCW_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_NMDM_0045.txt,Non-Medical Mask,99,100,Person wearing Non-Medical Mask,146.0,189.0
0001_MRCW_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_NMDM_0090.txt,Non-Medical Mask,71,86,Person wearing Non-Medical Mask,169.0,173.0
0001_MRCW_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_SRGM_0000.txt,Surgical Mask,107,105,Person wearing Surgical Mask,118.0,196.0
0001_MRCW_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_SRGM_0045.txt,Surgical Mask,96,99,Person wearing Surgical Mask,140.0,193.0
0001_MRCW_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRCW_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRCW_SRGM_0090.txt,Surgical Mask,73,90,Person wearing Surgical Mask,168.0,177.0
0001_MRFH_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRNV_0000.txt,Disposable Respirator Without Valve,90,55,Person wearing Disposable Respirator Without Valve,112.0,195.0
0001_MRFH_DRNV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRNV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRNV_0045.txt,Disposable Respirator Without Valve,90,54,Person wearing Disposable Respirator Without Valve,131.0,199.0
0001_MRFH_DRNV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRNV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRNV_0090.txt,Disposable Respirator Without Valve,72,50,Person wearing Disposable Respirator Without Valve,171.0,180.0
0001_MRFH_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRWV_0000.txt,Disposable Respirator With Valve,100,66,Person wearing Disposable Respirator With Valve,118.0,213.0
0001_MRFH_DRWV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRWV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRWV_0045.txt,Disposable Respirator With Valve,96,64,Person wearing Disposable Respirator With Valve,133.0,204.0
0001_MRFH_DRWV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_DRWV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_DRWV_0090.txt,Disposable Respirator With Valve,73,43,Person wearing Disposable Respirator With Valve,172.0,175.0
0001_MRFH_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_NMDM_0000.txt,Non-Medical Mask,105,56,Person wearing Non-Medical Mask,113.0,189.0
0001_MRFH_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_NMDM_0045.txt,Non-Medical Mask,104,48,Person wearing Non-Medical Mask,137.0,187.0
0001_MRFH_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_NMDM_0090.txt,Non-Medical Mask,77,42,Person wearing Non-Medical Mask,177.0,173.0
0001_MRFH_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_SRGM_0000.txt,Surgical Mask,101,55,Person wearing Surgical Mask,111.0,185.0
0001_MRFH_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_SRGM_0045.txt,Surgical Mask,105,48,Person wearing Surgical Mask,135.0,186.0
0001_MRFH_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRFH_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRFH_SRGM_0090.txt,Surgical Mask,81,38,Person wearing Surgical Mask,172.0,169.0
0001_MRHN_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRNV_0000.txt,Disposable Respirator Without Valve,68,92,Person wearing Disposable Respirator Without Valve,169.0,216.0
0001_MRHN_DRNV_0045_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRNV_0045_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRNV_0045_B.txt,Disposable Respirator Without Valve,41,54,Person wearing Disposable Respirator Without Valve,149.0,189.0
0001_MRHN_DRNV_0045_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRNV_0045_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRNV_0045_F.txt,Disposable Respirator Without Valve,75,99,Person wearing Disposable Respirator Without Valve,174.0,223.0
0001_MRHN_DRNV_0090_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRNV_0090_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRNV_0090_B.txt,Disposable Respirator Without Valve,8,1,Person wearing Disposable Respirator Without Valve,173.0,179.0
0001_MRHN_DRNV_0090_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRNV_0090_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRNV_0090_F.txt,Disposable Respirator Without Valve,115,97,Person wearing Disposable Respirator Without Valve,177.0,229.0
0001_MRHN_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRWV_0000.txt,Disposable Respirator With Valve,90,91,Person wearing Disposable Respirator With Valve,194.0,224.0
0001_MRHN_DRWV_0045_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRWV_0045_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRWV_0045_B.txt,Disposable Respirator With Valve,69,76,Person wearing Disposable Respirator With Valve,162.0,193.0
0001_MRHN_DRWV_0045_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRWV_0045_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRWV_0045_F.txt,Disposable Respirator With Valve,95,97,Person wearing Disposable Respirator With Valve,191.0,232.0
0001_MRHN_DRWV_0090_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRWV_0090_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRWV_0090_B.txt,Disposable Respirator With Valve,24,10,Person wearing Disposable Respirator With Valve,158.0,167.0
0001_MRHN_DRWV_0090_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_DRWV_0090_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_DRWV_0090_F.txt,Disposable Respirator With Valve,111,102,Person wearing Disposable Respirator With Valve,182.0,226.0
0001_MRHN_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_NMDM_0000.txt,Non-Medical Mask,51,133,Person wearing Non-Medical Mask,155.0,236.0
0001_MRHN_NMDM_0045_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_NMDM_0045_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_NMDM_0045_B.txt,Non-Medical Mask,42,88,Person wearing Non-Medical Mask,147.0,217.0
0001_MRHN_NMDM_0045_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_NMDM_0045_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_NMDM_0045_F.txt,Non-Medical Mask,52,147,Person wearing Non-Medical Mask,163.0,251.0
0001_MRHN_NMDM_0090_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_NMDM_0090_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_NMDM_0090_B.txt,Non-Medical Mask,47,34,Person wearing Non-Medical Mask,155.0,201.0
0001_MRHN_NMDM_0090_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_NMDM_0090_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_NMDM_0090_F.txt,Non-Medical Mask,93,162,Person wearing Non-Medical Mask,189.0,268.0
0001_MRHN_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_SRGM_0000.txt,Surgical Mask,51,140,Person wearing Surgical Mask,142.0,260.0
0001_MRHN_SRGM_0045_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_SRGM_0045_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_SRGM_0045_B.txt,Surgical Mask,56,89,Person wearing Surgical Mask,160.0,229.0
0001_MRHN_SRGM_0045_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_SRGM_0045_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_SRGM_0045_F.txt,Surgical Mask,50,138,Person wearing Surgical Mask,160.0,258.0
0001_MRHN_SRGM_0090_B,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_SRGM_0090_B.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_SRGM_0090_B.txt,Surgical Mask,41,41,Person wearing Surgical Mask,168.0,219.0
0001_MRHN_SRGM_0090_F,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRHN_SRGM_0090_F.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRHN_SRGM_0090_F.txt,Surgical Mask,65,139,Person wearing Surgical Mask,163.0,263.0
0001_MRNC_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRNV_0000.txt,Disposable Respirator Without Valve,84,70,Person wearing Disposable Respirator Without Valve,112.0,214.0
0001_MRNC_DRNV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRNV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRNV_0045.txt,Disposable Respirator Without Valve,86,69,Person wearing Disposable Respirator Without Valve,132.0,212.0
0001_MRNC_DRNV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRNV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRNV_0090.txt,Disposable Respirator Without Valve,87,66,Person wearing Disposable Respirator Without Valve,177.0,221.0
0001_MRNC_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRWV_0000.txt,Disposable Respirator With Valve,86,78,Person wearing Disposable Respirator With Valve,112.0,219.0
0001_MRNC_DRWV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRWV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRWV_0045.txt,Disposable Respirator With Valve,88,79,Person wearing Disposable Respirator With Valve,127.0,223.0
0001_MRNC_DRWV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_DRWV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_DRWV_0090.txt,Disposable Respirator With Valve,77,69,Person wearing Disposable Respirator With Valve,176.0,202.0
0001_MRNC_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_NMDM_0000.txt,Non-Medical Mask,103,65,Person wearing Non-Medical Mask,120.0,214.0
0001_MRNC_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_NMDM_0045.txt,Non-Medical Mask,101,60,Person wearing Non-Medical Mask,136.0,204.0
0001_MRNC_NMDM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_NMDM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_NMDM_0090.txt,Non-Medical Mask,96,62,Person wearing Non-Medical Mask,178.0,203.0
0001_MRNC_SRGM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_SRGM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_SRGM_0000.txt,Surgical Mask,104,61,Person wearing Surgical Mask,114.0,201.0
0001_MRNC_SRGM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_SRGM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_SRGM_0045.txt,Surgical Mask,92,61,Person wearing Surgical Mask,131.0,197.0
0001_MRNC_SRGM_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNC_SRGM_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNC_SRGM_0090.txt,Surgical Mask,76,51,Person wearing Surgical Mask,163.0,186.0
0001_MRNN_DRNV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRNV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRNV_0000.txt,Disposable Respirator Without Valve,102,91,Person wearing Disposable Respirator Without Valve,120.0,215.0
0001_MRNN_DRNV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRNV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRNV_0045.txt,Disposable Respirator Without Valve,92,87,Person wearing Disposable Respirator Without Valve,135.0,205.0
0001_MRNN_DRNV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRNV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRNV_0090.txt,Disposable Respirator Without Valve,67,69,Person wearing Disposable Respirator Without Valve,165.0,182.0
0001_MRNN_DRWV_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRWV_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRWV_0000.txt,Disposable Respirator With Valve,98,88,Person wearing Disposable Respirator With Valve,113.0,200.0
0001_MRNN_DRWV_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRWV_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRWV_0045.txt,Disposable Respirator With Valve,94,87,Person wearing Disposable Respirator With Valve,143.0,204.0
0001_MRNN_DRWV_0090,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_DRWV_0090.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_DRWV_0090.txt,Disposable Respirator With Valve,72,75,Person wearing Disposable Respirator With Valve,185.0,183.0
0001_MRNN_NMDM_0000,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_NMDM_0000.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_NMDM_0000.txt,Non-Medical Mask,111,83,Person wearing Non-Medical Mask,122.0,213.0
0001_MRNN_NMDM_0045,360,360,2,C:\karthi\Projects\Mini project\Images\0001_MRNN_NMDM_0045.jpg,C:\karthi\Projects\Mini project\Labels\0001_MRNN_NMDM_0045.txt,Non-Medical Mask,97,78,Person wearing Non-Medical Mask,133.0,200.0
